strike,window,trigger_rate,payout_frequency,premium_to_cap,shortfall_rate,overpay_rate,basis_risk_rmse,mae_full,mae_flat,mae_improvement_pct
55,14,0.5961538461538461,0.04244249726177437,0.8143699049389687,0.1646586345381526,0.5006571741511501,119.6283121541043,73.87137485632077,104.66166552224014,29.41888084073779
60,14,0.5769230769230769,0.04107338444687842,0.7928100401766192,0.1968540829986613,0.4683339418279177,111.5356269020929,76.16535006163285,106.74206563816232,28.645422396245728
65,14,0.5461538461538461,0.03888280394304491,0.7688138365120482,0.2336497505172204,0.43150176463429474,102.48824460410258,76.65942299469772,109.09573776951197,29.73197252063402
70,14,0.5192307692307693,0.03696604600219058,0.7386376047370854,0.2781002799075088,0.3870512352440063,92.48682413988455,80.73222759780064,112.08495910827735,27.972291518783578
75,14,0.4807692307692308,0.03422782037239869,0.6981557042521062,0.34484605087014725,0.3203054642813679,81.81822983201577,84.70546179286256,116.29577021684916,27.163763879874743
80,14,0.4230769230769231,0.030120481927710843,0.6497549924124861,0.42217962760131433,0.2429718875502008,71.14350002630282,86.73684823990554,120.03554662753942,27.74069792088925
85,14,0.35384615384615387,0.025191675794085433,0.5862131414340427,0.5028112449799197,0.16234027017159547,60.96881123055235,92.64588114404368,125.92502655097242,26.427745396152748
90,14,0.24615384615384617,0.017524644030668127,0.485106278425137,0.5802421808445904,0.08490933430692467,52.98598242708755,98.35675122612106,143.66720446721797,31.538480482813224
95,14,0.13846153846153847,0.009857612267250822,0.3223984506765605,0.6382377996835829,0.026913715467932336,47.93345198963943,102.22027581083529,163.0925582963746,37.323764567431176
96,14,0.12692307692307692,0.009036144578313253,0.27185673528261456,0.6465011561397104,0.018650359011804795,47.46388898410162,113.92290841834257,149.04810129359345,23.566347085536922
97,14,0.08846153846153847,0.006297918948521358,0.21731742287216138,0.653687477181453,0.011464037970062067,47.16757307579933,131.0062877861834,172.26882432261647,23.952410831549322
98,14,0.06153846153846154,0.004381161007667032,0.15556329311791456,0.658458074723135,0.006693440428380187,46.937114174396,146.42569872430116,187.0287486041017,21.709523366243648
99,14,0.03461538461538462,0.0024644030668127055,0.09078698037525615,0.6619204089083607,0.003231106243154436,46.56416016162783,183.45865491264811,206.8901846936738,11.325587927585318
55,30,0.6446280991735537,0.02135815991237678,0.9027424008472623,0.1646586345381526,0.5006571741511501,119.6283121541043,80.31403524519898,107.67854941353801,25.413152682105682
60,30,0.6115702479338843,0.020262869660460023,0.8912169632254936,0.1968540829986613,0.4683339418279177,111.5356269020929,77.60670182751889,109.9441562591437,29.412617761515094
65,30,0.5867768595041323,0.019441401971522453,0.8763812483973179,0.2336497505172204,0.43150176463429474,102.48824460410258,79.16292900798972,113.32023717251904,30.14228439402941
70,30,0.5537190082644629,0.018346111719605696,0.8579220833633411,0.2781002799075088,0.3870512352440063,92.48682413988455,78.38737532243691,115.17947604715275,31.943278427185852
75,30,0.512396694214876,0.016976998904709748,0.832994108052827,0.34484605087014725,0.3203054642813679,81.81822983201577,77.6883615360164,118.77271161185956,34.59073175840574
80,30,0.48760330578512395,0.01615553121577218,0.796731174187479,0.42217962760131433,0.2429718875502008,71.14350002630282,87.02143340999348,122.44298752430579,28.929018174504183
85,30,0.4380165289256198,0.014512595837897043,0.7478756651329346,0.5028112449799197,0.16234027017159547,60.96881123055235,95.05287802043873,127.89882673358234,25.681196264265076
90,30,0.32231404958677684,0.01067907995618839,0.6661782083374506,0.5802421808445904,0.08490933430692467,52.98598242708755,89.41294594643887,154.48657222646247,42.12251287745055
95,30,0.21487603305785125,0.007119386637458927,0.49754202672665176,0.6382377996835829,0.026913715467932336,47.93345198963943,104.61323281718487,172.37856050915832,39.31192341542563
96,30,0.19834710743801653,0.0065717415115005475,0.4414795950800371,0.6465011561397104,0.018650359011804795,47.46388898410162,115.84421637832014,167.89064620289193,31.000196259698047
97,30,0.1487603305785124,0.004928806133625411,0.3749860128371452,0.653687477181453,0.011464037970062067,47.16757307579933,119.48958661189542,199.71116599816082,40.16880026978771
98,30,0.14049586776859505,0.004654983570646221,0.2853274311052146,0.658458074723135,0.006693440428380187,46.937114174396,121.12310024054611,172.17106972698417,29.649562825732605
99,30,0.08264462809917356,0.002738225629791895,0.16528598244204137,0.6619204089083607,0.003231106243154436,46.56416016162783,149.02979770616588,187.81718671884443,20.651671814647013
55,60,0.7666666666666667,0.012595837897042717,0.9458886069100118,0.1646586345381526,0.5006571741511501,119.6283121541043,82.6513720491564,95.19623937330705,13.177902201531955
60,60,0.7166666666666667,0.011774370208105149,0.940294223356441,0.1968540829986613,0.4683339418279177,111.5356269020929,76.12256710303122,95.93731038807825,20.653844896103458
65,60,0.7,0.011500547645125958,0.9331307011705336,0.2336497505172204,0.43150176463429474,102.48824460410258,81.25219715796453,101.54563093566985,19.984546445490505
70,60,0.65,0.01067907995618839,0.9220561296061893,0.2781002799075088,0.3870512352440063,92.48682413988455,74.70444489534832,102.11237193285903,26.840946418845295
75,60,0.6166666666666667,0.010131434830230011,0.908743914144079,0.34484605087014725,0.3203054642813679,81.81822983201577,76.7626055499843,107.27572103479284,28.443635885618697
80,60,0.6,0.009857612267250822,0.8879760903732907,0.42217962760131433,0.2429718875502008,71.14350002630282,88.49696498899637,114.7322620525298,22.866538665054552
85,60,0.55,0.009036144578313253,0.8548222672814878,0.5028112449799197,0.16234027017159547,60.96881123055235,95.48938080318602,126.14142925817106,24.29974722440327
90,60,0.43333333333333335,0.007119386637458927,0.7975498775700586,0.5802421808445904,0.08490933430692467,52.98598242708755,84.15829741246863,149.22783922122397,43.60415733976587
95,60,0.3,0.004928806133625411,0.6651475088731885,0.6382377996835829,0.026913715467932336,47.93345198963943,66.92943253933842,173.5302100643424,61.430673935955014
